customer_id,total_past_payments,successful_payments,past_failure_count,avg_days_to_recovery,preferred_channel,account_age_days
CUST0001,41,40,1,0.3,sms,511
CUST0002,15,13,2,4.5,whatsapp,1126
CUST0003,6,2,4,2.6,email,201
CUST0004,14,11,3,3.1,email,1159
CUST0005,13,3,10,4.3,sms,461
CUST0006,29,20,9,1.8,email,336
CUST0007,45,39,6,2.2,email,450
CUST0008,49,44,5,0.8,sms,208
CUST0009,23,18,5,3.7,email,950
CUST0010,35,34,1,5.8,sms,171
CUST0011,36,32,4,5.0,whatsapp,750
CUST0012,37,34,3,4.3,email,476
CUST0013,50,46,4,5.9,email,216
CUST0014,25,21,4,2.8,sms,343
CUST0015,24,19,5,1.4,sms,156
CUST0016,39,29,10,1.2,whatsapp,511
CUST0017,11,4,7,2.4,whatsapp,1150
CUST0018,15,5,10,2.1,email,479
CUST0019,53,53,0,0.0,sms,831
CUST0020,18,17,1,1.4,whatsapp,654
CUST0021,14,4,10,3.1,whatsapp,949
CUST0022,10,6,4,1.0,whatsapp,1159
CUST0023,35,31,4,4.5,sms,827
CUST0024,24,21,3,6.0,email,1053
CUST0025,32,31,1,4.6,email,323
CUST0026,41,39,2,4.8,sms,140
CUST0027,25,19,6,3.7,sms,1093
CUST0028,17,9,8,5.2,email,244
CUST0029,44,36,8,4.6,whatsapp,706
CUST0030,8,4,4,2.7,sms,16
CUST0031,47,43,4,5.8,email,1049
CUST0032,59,58,1,5.2,sms,1049
CUST0033,39,36,3,1.1,email,1114
CUST0034,50,42,8,5.5,whatsapp,673
CUST0035,32,32,0,0.0,email,753
CUST0036,57,53,4,1.6,email,1171
CUST0037,6,6,0,0.0,whatsapp,1005
CUST0038,53,52,1,5.9,whatsapp,267
CUST0039,9,2,7,5.7,email,552
CUST0040,34,25,9,2.7,email,1114
CUST0041,49,46,3,4.3,sms,774
CUST0042,29,21,8,2.8,email,470
CUST0043,5,3,2,0.3,whatsapp,481
CUST0044,38,35,3,0.2,whatsapp,130
CUST0045,15,14,1,5.5,sms,155
CUST0046,33,30,3,1.8,sms,448
CUST0047,35,33,2,4.4,whatsapp,1190
CUST0048,31,28,3,4.8,sms,399
CUST0049,7,6,1,4.0,sms,877
CUST0050,27,20,7,5.2,email,211
CUST0051,4,1,3,4.4,email,519
CUST0052,13,10,3,3.3,email,874
CUST0053,12,8,4,2.9,email,917
CUST0054,52,44,8,0.8,whatsapp,1117
CUST0055,54,54,0,0.0,email,494
CUST0056,11,5,6,3.0,email,831
CUST0057,58,58,0,0.0,email,786
CUST0058,1,0,1,1.7,sms,594
CUST0059,28,20,8,4.0,sms,327
CUST0060,13,9,4,1.5,email,1196
CUST0061,48,40,8,0.6,sms,127
CUST0062,4,0,4,3.0,whatsapp,332
CUST0063,4,0,4,0.7,email,150
CUST0064,39,38,1,4.1,email,836
CUST0065,8,5,3,3.6,email,177
CUST0066,27,17,10,3.6,whatsapp,657
CUST0067,60,56,4,1.4,whatsapp,653
CUST0068,16,12,4,2.5,whatsapp,624
CUST0069,30,25,5,5.6,email,29
CUST0070,30,21,9,6.0,email,160
CUST0071,35,32,3,3.1,email,724
CUST0072,57,56,1,5.3,sms,593
CUST0073,11,4,7,5.0,whatsapp,629
CUST0074,40,30,10,3.3,whatsapp,1145
CUST0075,20,10,10,0.8,email,551
CUST0076,8,7,1,4.5,email,567
CUST0077,19,10,9,1.4,sms,426
CUST0078,44,34,10,5.1,whatsapp,1010
CUST0079,17,17,0,0.0,email,877
CUST0080,54,50,4,0.5,sms,277
CUST0081,41,37,4,1.1,sms,1139
CUST0082,46,40,6,3.5,email,164
CUST0083,57,55,2,3.4,sms,1141
CUST0084,10,4,6,0.9,sms,756
CUST0085,58,58,0,0.0,sms,440
CUST0086,44,41,3,4.1,sms,1156
CUST0087,57,51,6,5.8,whatsapp,326
CUST0088,60,57,3,5.2,email,854
CUST0089,2,2,0,0.0,whatsapp,690
CUST0090,51,45,6,4.9,whatsapp,518
CUST0091,18,16,2,4.8,email,793
CUST0092,56,56,0,0.0,sms,465
CUST0093,13,6,7,2.2,email,466
CUST0094,2,0,2,1.3,sms,580
CUST0095,56,55,1,5.8,sms,729
CUST0096,42,34,8,2.5,whatsapp,688
CUST0097,2,2,0,0.0,sms,375
CUST0098,38,34,4,0.4,whatsapp,899
CUST0099,23,18,5,2.7,whatsapp,246
CUST0100,25,16,9,1.3,email,903
CUST0101,1,1,0,0.0,sms,893
CUST0102,5,0,5,5.5,whatsapp,652
CUST0103,43,42,1,4.4,sms,1048
CUST0104,20,10,10,2.6,sms,615
CUST0105,36,34,2,1.3,whatsapp,786
CUST0106,44,42,2,3.8,sms,841
CUST0107,36,36,0,0.0,sms,597
CUST0108,14,8,6,4.8,whatsapp,669
CUST0109,30,23,7,2.8,email,1056
CUST0110,31,29,2,4.0,sms,1065
CUST0111,43,33,10,3.8,email,491
CUST0112,44,40,4,1.5,email,311
CUST0113,2,2,0,0.0,email,983
CUST0114,40,39,1,2.8,whatsapp,1188
CUST0115,13,7,6,3.1,email,312
CUST0116,42,42,0,0.0,email,880
CUST0117,15,13,2,4.9,whatsapp,1070
CUST0118,30,30,0,0.0,whatsapp,520
CUST0119,59,58,1,2.8,sms,1097
CUST0120,36,27,9,2.0,sms,1043
CUST0121,28,20,8,2.8,email,982
CUST0122,29,25,4,4.6,whatsapp,577
CUST0123,50,42,8,3.0,email,572
CUST0124,29,28,1,4.3,email,566
CUST0125,22,17,5,5.4,email,293
CUST0126,10,7,3,2.4,email,448
CUST0127,5,2,3,2.6,whatsapp,964
CUST0128,27,27,0,0.0,email,870
CUST0129,25,16,9,5.7,email,1189
CUST0130,25,18,7,0.2,sms,621
CUST0131,49,43,6,5.1,sms,1112
CUST0132,48,40,8,4.8,email,1009
CUST0133,15,11,4,2.7,email,806
CUST0134,22,12,10,4.1,sms,348
CUST0135,54,47,7,5.5,whatsapp,1103
CUST0136,2,1,1,3.6,whatsapp,65
CUST0137,6,1,5,2.7,sms,382
CUST0138,4,2,2,2.4,email,941
CUST0139,21,16,5,4.6,sms,579
CUST0140,49,43,6,1.7,email,973
CUST0141,2,0,2,3.3,sms,469
CUST0142,42,41,1,4.7,whatsapp,92
CUST0143,49,49,0,0.0,email,418
CUST0144,54,54,0,0.0,whatsapp,322
CUST0145,16,14,2,2.9,email,1165
CUST0146,14,7,7,4.3,sms,353
CUST0147,39,30,9,5.8,whatsapp,244
CUST0148,50,48,2,5.8,email,1195
CUST0149,2,1,1,3.5,sms,822
CUST0150,46,43,3,0.6,whatsapp,507
CUST0151,7,3,4,5.1,whatsapp,257
CUST0152,51,42,9,4.7,sms,1101
CUST0153,28,18,10,2.3,whatsapp,708
CUST0154,1,0,1,5.0,email,897
CUST0155,24,14,10,5.4,sms,323
CUST0156,28,26,2,4.5,whatsapp,563
CUST0157,40,32,8,4.7,sms,902
CUST0158,53,44,9,1.8,email,187
CUST0159,18,11,7,1.6,sms,1177
CUST0160,40,30,10,2.4,email,1022
CUST0161,55,50,5,1.3,email,736
CUST0162,52,48,4,2.2,whatsapp,575
CUST0163,36,36,0,0.0,whatsapp,401
CUST0164,6,5,1,4.4,sms,1147
CUST0165,49,46,3,4.2,whatsapp,1015
CUST0166,29,29,0,0.0,email,612
CUST0167,15,9,6,4.2,sms,765
CUST0168,31,23,8,3.3,sms,1137
CUST0169,22,17,5,4.3,sms,637
CUST0170,17,14,3,0.9,email,656
CUST0171,8,0,8,5.7,whatsapp,389
CUST0172,13,10,3,4.5,sms,1084
CUST0173,39,35,4,5.9,email,616
CUST0174,15,10,5,1.2,email,1103
CUST0175,9,5,4,0.5,email,1143
CUST0176,19,17,2,3.9,sms,220
CUST0177,56,56,0,0.0,whatsapp,592
CUST0178,31,24,7,2.8,email,115
CUST0179,17,10,7,0.9,email,830
CUST0180,32,31,1,3.5,whatsapp,119
CUST0181,10,8,2,4.9,sms,184
CUST0182,16,15,1,3.4,sms,472
CUST0183,50,42,8,2.4,sms,618
CUST0184,56,47,9,5.9,sms,1174
CUST0185,40,40,0,0.0,whatsapp,213
CUST0186,49,46,3,3.8,sms,176
CUST0187,11,8,3,1.2,email,330
CUST0188,1,0,1,2.8,whatsapp,972
CUST0189,19,19,0,0.0,email,600
CUST0190,46,42,4,4.3,sms,155
CUST0191,44,41,3,5.6,whatsapp,415
CUST0192,28,27,1,3.4,whatsapp,315
CUST0193,59,55,4,5.0,email,132
CUST0194,11,7,4,3.7,whatsapp,601
CUST0195,29,28,1,2.9,sms,834
CUST0196,18,10,8,3.3,sms,174
CUST0197,39,39,0,0.0,sms,670
CUST0198,39,35,4,0.4,email,1188
CUST0199,38,38,0,0.0,whatsapp,561
CUST0200,37,37,0,0.0,email,973
CUST0201,34,24,10,2.8,sms,381
CUST0202,38,32,6,3.9,sms,196
CUST0203,31,26,5,2.6,sms,224
CUST0204,55,53,2,2.1,whatsapp,1024
CUST0205,19,9,10,5.7,whatsapp,85
CUST0206,30,29,1,2.0,sms,247
CUST0207,50,44,6,5.2,email,1121
CUST0208,30,24,6,0.5,whatsapp,750
CUST0209,40,33,7,3.8,email,426
CUST0210,18,10,8,1.0,sms,907
CUST0211,57,50,7,0.9,whatsapp,500
CUST0212,46,44,2,2.0,email,1141
CUST0213,27,26,1,1.5,email,955
CUST0214,8,6,2,3.1,whatsapp,607
CUST0215,33,29,4,2.6,sms,977
CUST0216,16,9,7,3.4,sms,400
CUST0217,59,50,9,3.1,email,152
CUST0218,18,12,6,2.2,whatsapp,557
CUST0219,53,53,0,0.0,sms,621
CUST0220,54,45,9,3.6,whatsapp,1012
CUST0221,56,54,2,2.8,sms,716
CUST0222,22,14,8,4.6,sms,942
CUST0223,60,55,5,5.2,whatsapp,499
CUST0224,37,31,6,1.6,sms,99
CUST0225,21,14,7,4.3,sms,800
CUST0226,43,33,10,5.9,sms,85
CUST0227,9,1,8,5.8,sms,215
CUST0228,56,49,7,0.8,sms,41
CUST0229,47,45,2,2.6,whatsapp,326
CUST0230,5,2,3,4.7,sms,703
CUST0231,40,34,6,4.0,sms,1102
CUST0232,25,20,5,3.8,sms,1118
CUST0233,3,3,0,0.0,email,598
CUST0234,15,14,1,2.7,email,215
CUST0235,29,27,2,4.2,email,104
CUST0236,21,21,0,0.0,sms,744
CUST0237,24,18,6,1.0,whatsapp,853
CUST0238,37,27,10,4.8,email,368
CUST0239,6,2,4,5.3,whatsapp,503
CUST0240,32,23,9,1.0,sms,530
CUST0241,30,26,4,4.1,sms,599
