payment_id,customer_id,amount_paise,currency,failure_reason_raw,true_failure_category,failed_at,subscription_id,attempt_number,ground_truth_recovered
PAY00001,CUST0232,299900,INR,Declined by issuing bank,bank_declined,2026-08-02T18:23:00,SUB0076,1,False
PAY00002,CUST0084,1999900,INR,Gateway timeout,network_error,2026-08-18T11:33:00,SUB0043,1,True
PAY00003,CUST0066,149900,INR,CVV verification failed,invalid_cvv,2026-08-11T03:29:00,SUB0058,1,False
PAY00004,CUST0221,1999900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-18T11:05:00,SUB0138,1,True
PAY00005,CUST0032,1999900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-21T11:06:00,SUB0144,1,False
PAY00006,CUST0084,999900,INR,Incorrect CVV entered,invalid_cvv,2026-08-15T22:19:00,SUB0012,1,False
PAY00007,CUST0243,99900,INR,Your account has insufficient funds for this transaction,insufficient_funds,2026-08-18T04:24:00,,1,True
PAY00008,CUST0191,999900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-05T13:41:00,SUB0105,1,True
PAY00009,CUST0241,99900,INR,Transaction failed,other,2026-08-15T14:15:00,SUB0095,1,False
PAY00010,CUST0140,99900,INR,Payment could not be processed,invalid_cvv,2026-08-04T14:05:00,,1,True
PAY00011,CUST0153,99900,INR,Transaction failed,other,2026-08-05T18:13:00,,1,True
PAY00012,CUST0054,99900,INR,DO_NOT_HONOR,bank_declined,2026-08-20T00:17:00,SUB0034,1,False
PAY00013,CUST0139,1999900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-01T04:00:00,,1,True
PAY00014,CUST0151,99900,INR,Card has expired,card_expired,2026-08-14T16:07:00,SUB0093,1,False
PAY00015,CUST0132,499900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-02T23:50:00,,1,False
PAY00016,CUST0078,1999900,INR,Payment could not be processed,bank_declined,2026-08-13T13:43:00,,1,True
PAY00017,CUST0114,99900,INR,Insufficient balance in account,insufficient_funds,2026-08-03T04:17:00,SUB0084,1,True
PAY00018,CUST0098,499900,INR,Unknown error occurred,other,2026-08-20T13:06:00,SUB0142,1,False
PAY00019,CUST0185,99900,INR,CVV verification failed,invalid_cvv,2026-08-14T10:52:00,SUB0025,1,True
PAY00020,CUST0081,99900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-16T02:05:00,SUB0025,1,False
PAY00021,CUST0191,499900,INR,Gateway timeout,network_error,2026-08-18T17:21:00,SUB0109,1,True
PAY00022,CUST0223,499900,INR,Incorrect CVV entered,invalid_cvv,2026-08-10T11:06:00,SUB0124,1,True
PAY00023,CUST0058,149900,INR,"Network error, please retry",network_error,2026-08-04T08:36:00,SUB0144,1,True
PAY00024,CUST0250,999900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-18T00:38:00,,1,True
PAY00025,CUST0069,149900,INR,Txn declined - low balance,insufficient_funds,2026-08-11T11:00:00,SUB0103,1,True
PAY00026,CUST0018,499900,INR,Insufficient balance in account,insufficient_funds,2026-08-07T12:26:00,SUB0080,1,True
PAY00027,CUST0185,49900,INR,This card is no longer valid,card_expired,2026-08-05T05:48:00,,1,False
PAY00028,CUST0070,299900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-14T08:13:00,SUB0111,1,False
PAY00029,CUST0029,149900,INR,Your account has insufficient funds for this transaction,insufficient_funds,2026-08-02T07:25:00,SUB0053,1,False
PAY00030,CUST0078,149900,INR,Transaction failed,other,2026-08-11T03:00:00,SUB0034,1,False
PAY00031,CUST0098,1999900,INR,DO_NOT_HONOR,bank_declined,2026-08-12T02:25:00,SUB0005,1,False
PAY00032,CUST0118,499900,INR,CVV verification failed,invalid_cvv,2026-08-13T22:40:00,SUB0006,1,True
PAY00033,CUST0248,999900,INR,This card is no longer valid,card_expired,2026-08-12T02:27:00,SUB0103,1,False
PAY00034,CUST0135,99900,INR,Txn declined - low balance,insufficient_funds,2026-08-11T05:04:00,SUB0131,1,True
PAY00035,CUST0050,1999900,INR,CVV verification failed,invalid_cvv,2026-08-21T04:15:00,SUB0045,1,True
PAY00036,CUST0155,1999900,INR,Insufficient balance in account,insufficient_funds,2026-08-21T15:29:00,,1,False
PAY00037,CUST0115,499900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-11T20:20:00,SUB0114,1,True
PAY00038,CUST0162,149900,INR,EXPIRED_CARD,card_expired,2026-08-17T02:19:00,SUB0095,1,False
PAY00039,CUST0213,499900,INR,Insufficient balance in account,insufficient_funds,2026-08-13T14:37:00,,1,True
PAY00040,CUST0230,299900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-17T04:03:00,,1,True
PAY00041,CUST0215,999900,INR,This card is no longer valid,card_expired,2026-08-06T01:15:00,,1,False
PAY00042,CUST0135,149900,INR,DO_NOT_HONOR,bank_declined,2026-08-13T13:49:00,SUB0086,1,True
PAY00043,CUST0017,149900,INR,This card is no longer valid,card_expired,2026-08-09T23:54:00,,1,False
PAY00044,CUST0224,99900,INR,Insufficient balance in account,insufficient_funds,2026-08-12T09:41:00,SUB0022,1,True
PAY00045,CUST0080,999900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-17T02:41:00,SUB0005,1,False
PAY00046,CUST0093,1999900,INR,Card has expired,card_expired,2026-08-16T06:14:00,SUB0076,1,False
PAY00047,CUST0217,1999900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-17T01:42:00,,1,True
PAY00048,CUST0034,1999900,INR,DO_NOT_HONOR,bank_declined,2026-08-20T05:46:00,SUB0061,1,True
